 threads, equalityReasoning, matTime, totalTriples, visibleTriples, storedTriples
1,FALSE,1993.8,102007750,102007750,102007750
1,FALSE,2016.63,102007750,102007750,102007750
1,FALSE,2118.2,102007750,102007750,102007750
1,TRUE,65.282,102007750,79516082,79675165
1,TRUE,65.874,102007750,79516082,79675165
1,TRUE,66.178,102007750,79516082,79675165
2,FALSE,1104.45,102007750,102007750,102007750
2,FALSE,906.013,102007750,102007750,102007750
2,FALSE,898.727,102007750,102007750,102007750
2,TRUE,33.051,102007750,79516082,79675364
2,TRUE,36.073,102007750,79516082,79675279
2,TRUE,36.333,102007750,79516082,79675392
4,FALSE,461.935,102007750,102007750,102007750
4,FALSE,461.461,102007750,102007750,102007750
4,FALSE,462.738,102007750,102007750,102007750
4,TRUE,17.954,102007750,79516082,79675251
4,TRUE,18.631,102007750,79516082,79675268
4,TRUE,17.802,102007750,79516082,79675280
8,FALSE,237.168,102007750,102007750,102007750
8,FALSE,237.93,102007750,102007750,102007750
8,FALSE,236.464,102007750,102007750,102007750
8,TRUE,9.923,102007750,79516082,79675258
8,TRUE,9.721,102007750,79516082,79675322
8,TRUE,9.929,102007750,79516082,79675374
12,FALSE,184.637,102007750,102007750,102007750
12,FALSE,184.632,102007750,102007750,102007750
12,FALSE,185.311,102007750,102007750,102007750
12,TRUE,7.967,102007750,79516082,79675257
12,TRUE,8.033,102007750,79516082,79675312
12,TRUE,7.826,102007750,79516082,79675347
16,FALSE,153.867,102007750,102007750,102007750
16,FALSE,153.074,102007750,102007750,102007750
16,FALSE,153.373,102007750,102007750,102007750
16,TRUE,6.902,102007750,79516082,79675251
16,TRUE,6.873,102007750,79516082,79675341
16,TRUE,6.829,102007750,79516082,79675426
